flight_number,departure_station_code,arrival_station_code,scheduled_departure_dtl,entree_product_id,entree_description,entree_code,planned_entree_count,consumed_entree_count
1606,LAX,BWX,9/19/2022,60987,Impossible Meatball Bowl,V,7,3
2308,DEX,LIX,9/23/2022,58490,Teriyaki chicken,B,10,10
1036,IAX,UIX,9/25/2022,54080,Jumbo burrata ravioli,P,2,2
379,IAX,GDX,9/25/2022,60987,Impossible Meatball Bowl,V,4,2
1735,LAX,IAX,9/26/2022,60983,Zatar chicken,C,28,18
2474,LAX,EWX,9/26/2022,50950,Butternut squash ravioli,P,15,0
347,IAX,SXX,9/3/2022,58019,Belgium waffle,WF,6,6
1979,DEX,CVX,9/6/2022,58272,Horchata steel cut oatmeal,OM,1,0
1662,IAX,PUX,9/15/2022,58019,Belgium waffle,WF,7,0
1648,DCX,IAX,9/16/2022,58019,Belgium waffle,WF,6,0
406,DEX,CLX,9/23/2022,60987,Impossible Meatball Bowl,V,4,3
505,EWX,SAX,9/13/2022,61360,Brioche cheeseburger,B,2,0
585,PHX,EWX,9/15/2022,60987,Impossible Meatball Bowl,V,6,0
2109,EWX,SAX,9/17/2022,60549,Vegetarian chili and polenta cake,V,2,2
662,EWX,TPX,9/24/2022,60987,Impossible Meatball Bowl,V,6,0
292,IAX,SMX,9/28/2022,60549,Vegetarian chili and polenta cake,V,1,0
2494,PDX,DEX,9/29/2022,58981,Scrambled eggs,O,10,0
833,MEX,SFX,9/1/2022,58110,Vegetarian entree,V,5,4
371,EWX,LAX,9/2/2022,60987,Impossible Meatball Bowl,V,4,0
1987,SFX,IAX,9/3/2022,53154,Vegetarian entree,VG,1,1
787,DEX,SBX,9/5/2022,61529,Zatar chicken,C,5,2
2122,IAX,SNX,9/6/2022,60549,Vegetarian chili and polenta cake,V,1,0
1179,TPX,SFX,9/9/2022,60987,Impossible Meatball Bowl,V,8,0
2267,LAX,EWX,9/13/2022,58019,Belgium waffle,WF,10,5
1955,SFX,DCX,9/14/2022,58563,Tomato and kale baked egg,E,2,0
1865,DEX,IAX,9/15/2022,58272,Horchata steel cut oatmeal,OM,1,0
2124,AUX,SFX,9/15/2022,58019,Belgium waffle,WF,8,0
2679,ORX,SFX,9/28/2022,58981,Scrambled eggs,O,14,0
2608,LAX,IAX,9/28/2022,60983,Zatar chicken,C,20,20
313,AUX,EWX,9/28/2022,60987,Impossible Meatball Bowl,V,5,4
455,EWX,MSX,9/15/2022,60983,Zatar chicken,C,6,0
691,DEX,SEX,9/17/2022,61360,Brioche cheeseburger,B,4,0
2085,ORX,SFX,9/23/2022,60983,Zatar chicken,C,9,0
2236,SFX,MSX,9/24/2022,58574,Belgium waffle,WF,2,0
2223,SNX,DEX,9/25/2022,61530,Impossible Meatball Bowl,V,5,0
1730,DEX,EWX,9/26/2022,61360,Brioche cheeseburger,B,2,0
472,IAX,IAX,9/29/2022,58574,Belgium waffle,WF,5,5
1004,DFX,EWX,9/14/2022,61524,Scrambled eggs,O,6,5
2317,ORX,SAX,9/14/2022,61530,Impossible Meatball Bowl,V,4,3
2288,ORX,SMX,9/15/2022,58563,Tomato and kale baked egg,E,1,0
1986,IAX,PIX,9/17/2022,60983,Zatar chicken,C,8,0
1440,IAX,SJX,9/18/2022,61360,Brioche cheeseburger,B,2,0
1516,SNX,EWX,9/18/2022,60987,Impossible Meatball Bowl,V,5,0
2351,SAX,ORX,9/20/2022,58981,Scrambled eggs,O,8,8
2186,SMX,EWX,9/23/2022,60983,Zatar chicken,C,10,7
1286,IAX,SAX,9/24/2022,61360,Brioche cheeseburger,B,2,0
1068,ORX,LAX,9/24/2022,60983,Zatar chicken,C,11,0
1163,BQX,EWX,9/24/2022,60983,Zatar chicken,C,12,0
1722,SFX,KOX,9/27/2022,58563,Tomato and kale baked egg,E,1,0
2054,IAX,DEX,9/29/2022,58563,Tomato and kale baked eggwhite pastry with fire ro,E,4,0
1966,CUX,DEX,9/23/2022,58106,Savory breakfast entree,BR,8,8
1182,LAX,IAX,9/25/2022,58981,Scrambled eggs,O,10,0
1115,SAX,DEX,9/27/2022,60987,Impossible Meatball Bowl,V,6,3
1824,SFX,DEX,9/19/2022,60983,Zatar chicken,C,11,8
412,SFX,DEX,9/27/2022,58272,Horchata steel cut oatmeal,OM,1,1
2030,MSX,ORX,9/23/2022,60987,Impossible Meatball Bowl,V,6,0
1136,IAX,DCX,9/25/2022,61529,Zatar chicken,C,6,5
2413,SMX,DEX,9/25/2022,60983,Zatar chicken,C,10,10
2650,ORX,LAX,9/27/2022,60983,Zatar chicken,C,14,13
6020,IAX,BDX,9/27/2022,60985,Zatar chicken,C,7,5
2228,LAX,DEX,9/18/2022,60987,Impossible Meatball Bowl,V,9,6
252,BWX,LAX,9/26/2022,58981,Scrambled eggs,O,8,0
2296,ORX,YYX,9/26/2022,61524,Scrambled eggs,O,7,6
732,PHX,SFX,9/27/2022,58019,Belgium waffle,WF,8,7
1930,EWX,MCX,9/30/2022,60987,Impossible Meatball Bowl,V,2,0
2680,DEX,ORX,9/9/2022,58981,Scrambled eggs,O,14,12
5602,DEX,RDX,9/27/2022,57994,Classic selection cheese tray,O,5,5
1445,SFX,IAX,9/5/2022,61360,Brioche cheeseburger,B,1,1
2005,DFX,ORX,9/23/2022,60987,Impossible Meatball Bowl,V,8,4
1561,SJX,EWX,9/6/2022,58109,Chicken breast entree,C,10,10
2085,ORX,SFX,9/8/2022,58764,Mediterranean Falafel Bowl,V,1,-1
1209,EWX,DFX,9/28/2022,60549,Vegetarian chili and polenta cake,V,1,0
1264,ORX,FAX,9/5/2022,61360,Brioche cheeseburger,B,1,1
2665,ORX,SMX,9/16/2022,61529,Zatar chicken,C,7,7
290,IAX,INX,9/7/2022,61360,Brioche cheeseburger,B,2,0
2313,DEX,ORX,9/18/2022,60983,Zatar chicken,C,11,0
728,PTX,EWX,9/24/2022,58106,Savory breakfast entree,BR,8,6
1153,DEX,MSX,9/27/2022,61524,Scrambled eggs,O,5,0
1887,EWX,SNX,9/30/2022,60983,Zatar chicken,C,7,4
2295,EWX,LAX,9/14/2022,60983,Zatar chicken,C,9,0
2051,SFX,DEX,9/17/2022,61530,Impossible Meatball Bowl,V,4,3
442,EWX,FLX,9/4/2022,61529,Zatar chicken,C,6,6
371,EWX,LAX,9/24/2022,61360,Brioche cheeseburger,B,3,3
1750,SFX,OGX,9/27/2022,54759,Seared beef short rib,B,4,4
1253,DEX,RDX,9/20/2022,61530,Impossible Meatball Bowl,V,5,4
1827,SFX,DEX,9/22/2022,58563,Tomato and kale baked egg,E,1,0
289,AUX,ORX,9/25/2022,61529,Zatar chicken,C,7,7
1998,IAX,SFX,9/29/2022,61529,Zatar chicken,C,8,5
1648,DCX,IAX,9/26/2022,58981,Scrambled eggs,O,6,0
732,PHX,SFX,9/27/2022,58981,Scrambled eggs,O,8,5
2138,ORX,SLX,9/28/2022,61524,Scrambled eggs,O,7,0
1869,YVX,ORX,9/29/2022,60983,Zatar chicken,C3,12,1
2022,IAX,SJX,9/1/2022,58981,Scrambled eggs,O,20,20
752,EWX,LAX,9/2/2022,54076,Cacio e Pepe ravioli,P,5,5
2170,ORX,SFX,9/2/2022,60549,Vegetarian chili and polenta cake,V,1,0
2632,MSX,IAX,9/5/2022,58019,Belgium waffle,WF,8,0
215,HNX,SFX,9/5/2022,57484,Tomato and kale baked egg,E,22,8
1154,EWX,LAX,9/6/2022,61360,Brioche cheeseburger,B,10,5
1041,EWX,AUX,9/7/2022,58563,Tomato and kale baked egg,E,2,0
1842,SFX,IAX,9/8/2022,58764,Mediterranean Falafel Bowl,V,1,0
2253,MEX,EWX,9/13/2022,58110,Vegetarian entree,V,4,0
1685,SFX,LIX,9/13/2022,60458,Crispy Hawaiian garlic tofu,V,8,0
1746,SFX,IAX,9/16/2022,60987,Impossible Meatball Bowl,V,11,10
1572,IAX,BOX,9/16/2022,61529,Zatar chicken,C,7,7
1518,EWX,FLX,9/7/2022,58981,Scrambled eggs,O,14,6
2373,LGX,IAX,9/8/2022,58019,Belgium waffle,WF,16,4
1675,IAX,DEX,9/8/2022,58764,Mediterranean Falafel Bowl,V,1,0
1023,DEX,PIX,9/3/2022,61530,Impossible Meatball Bowl,V,2,2
1623,IAX,PVX,9/4/2022,61529,Zatar chicken,C,4,3
1461,MSX,IAX,9/4/2022,58981,Scrambled eggs,O,5,4
796,IAX,CLX,9/4/2022,58764,Mediterranean Falafel Bowl,V,2,0
503,DEX,SEX,9/7/2022,61360,Brioche cheeseburger,B,6,0
2309,IAX,SJX,9/7/2022,61360,Brioche cheeseburger,B,2,0
1955,SFX,DCX,9/11/2022,58981,Scrambled eggs,O,22,22
727,EWX,SEX,9/1/2022,60983,Zatar chicken,C,9,9
1097,IAX,SJX,9/10/2022,58019,Belgium waffle,WF,12,6
490,DEX,IAX,9/11/2022,58764,Mediterranean Falafel Bowl,V,4,2
490,DEX,IAX,9/11/2022,60987,Impossible Meatball Bowl,V,18,12
567,IAX,CVX,9/12/2022,61530,Impossible Meatball Bowl,V,5,3
2311,ORX,SNX,9/2/2022,61360,Brioche cheeseburger,B,3,0
2663,ORX,DEX,9/6/2022,61360,Brioche cheeseburger,B,2,2
795,EWX,SAX,9/7/2022,58981,Scrambled eggs,O,7,0
1419,DEX,MIX,9/7/2022,58563,Tomato and kale baked egg,E,4,2
501,INX,SFX,9/7/2022,58981,Scrambled eggs,O,16,7
1912,MSX,IAX,9/8/2022,58574,Belgium waffle,WF,5,3
2262,FLX,IAX,9/13/2022,58981,Scrambled eggs,O,20,7
453,SFX,ORX,9/19/2022,58019,Belgium waffle,WF,18,4
1856,IAX,FLX,9/19/2022,60983,Zatar chicken,C,22,0
516,JFX,LAX,9/22/2022,58488,Tapas,O2,16,16
1674,IAX,DEX,9/1/2022,61360,Brioche cheeseburger,B,2,1
2196,ORX,IAX,9/6/2022,61360,Brioche cheeseburger,B,3,0
2196,ORX,IAX,9/6/2022,58764,Mediterranean Falafel Bowl,V,1,0
2328,ORX,SFX,9/7/2022,61360,Brioche cheeseburger,B,2,1
707,OGX,LAX,9/9/2022,53166,Vegetarian entree,VG,2,0
293,EWX,SEX,9/10/2022,61360,Brioche cheeseburger,B,1,0
1204,IAX,AUX,9/10/2022,58019,Belgium waffle,WF,5,0
1539,ORX,TPX,9/11/2022,61360,Brioche cheeseburger,B,10,5
1048,DEX,FAX,9/11/2022,61529,Zatar chicken,C,6,0
1761,IAX,RDX,9/13/2022,61360,Brioche cheeseburger,B,1,0
1443,EWX,PDX,9/13/2022,60983,Zatar chicken,C,20,18
1104,DEX,BOX,9/25/2022,60983,Zatar chicken,C,22,16
2267,LAX,EWX,9/25/2022,58981,Scrambled eggs,O,10,9
1087,BOX,IAX,9/29/2022,60987,Impossible Meatball Bowl,V,8,2
541,DEX,SAX,9/13/2022,60983,Zatar chicken,C,20,8
2274,DEX,BWX,9/14/2022,58019,Belgium waffle,WF,8,6
2214,LAX,EWX,9/16/2022,57823,Tomato and kale baked egg,E,17,0
1792,LAX,ORX,9/21/2022,60983,Zatar chicken,C,20,18
1635,MCX,IAX,9/21/2022,60983,Zatar chicken,C,24,8
2296,ORX,YYX,9/25/2022,61524,Scrambled eggs,O,6,0
1744,IAX,CVX,9/26/2022,61360,Brioche cheeseburger,B,4,0
829,GUX,NRX,9/29/2022,41564,Raisin French toast,PK,6,2
1759,DEX,KOX,9/29/2022,58480,Spaghetti squash noodles,S,12,12
1102,DEX,LAX,9/14/2022,61360,Brioche cheeseburger,B,1,0
723,ORX,FLX,9/16/2022,58981,Scrambled eggs,O,8,0
463,IAX,PDX,9/16/2022,53130,ASIAN VEGETARIAN MEAL,AV,2,0
2169,SNX,ORX,9/24/2022,60983,Zatar chicken,C,14,8
1067,MEX,EWX,9/25/2022,58105,Protein egg entree,O,7,7
295,DEX,SJX,9/27/2022,58981,Scrambled eggs,O,9,0
1928,SFX,ORX,9/1/2022,58981,Scrambled eggs,O,20,20
2475,ORX,DEX,9/1/2022,58019,Belgium waffle,WF,10,10
2170,ORX,SFX,9/1/2022,61360,Brioche cheeseburger,B,8,4
1052,CUX,EWX,9/1/2022,58110,Vegetarian entree,V,8,6
517,LAX,JFX,9/2/2022,53014,Thai chicken,C,11,0
333,PDX,ORX,9/20/2022,58019,Belgium waffle,WF,20,7
2170,ORX,SFX,9/21/2022,60983,Zatar chicken,C,58,0
1976,FLX,CLX,9/22/2022,60983,Zatar chicken,C,10,0
413,SFX,MEX,9/25/2022,61530,Impossible Meatball Bowl,V,5,0
1439,EWX,DEX,9/29/2022,58981,Scrambled eggs,O,9,0
557,EWX,FLX,9/30/2022,61530,Impossible Meatball Bowl,V,4,3
1848,MIX,ORX,9/2/2022,61524,Scrambled eggs,O,6,2
2166,EWX,IAX,9/2/2022,58981,Scrambled eggs,O,7,5
1168,FLX,EWX,9/2/2022,61529,Zatar chicken,C,7,2
1483,LAX,ORX,9/2/2022,60987,Impossible Meatball Bowl,V,6,0
2230,IAX,DEX,9/3/2022,58019,Belgium waffle,WF,14,0
1033,EWX,TPX,9/15/2022,60987,Impossible Meatball Bowl,V,6,0
926,LHX,IAX,9/16/2022,53314,Vegetarian entree,VG,1,0
355,RSX,ORX,9/17/2022,60987,Impossible Meatball Bowl,V,16,6
751,YYX,IAX,9/22/2022,45351,Teriyaki chicken,C,36,36
2236,SFX,MSX,9/25/2022,61524,Scrambled eggs,O,6,5
2087,IAX,LAX,9/9/2022,61530,Impossible Meatball Bowl,V,2,0
1625,EWX,STX,9/14/2022,58981,Scrambled eggs,O,18,5
2307,ORX,BOX,9/18/2022,61360,Brioche cheeseburger,B,2,2
404,DEX,LAX,9/19/2022,60987,Impossible Meatball Bowl,V,7,0
1871,IAX,SFX,9/3/2022,60549,Vegetarian chili and polenta cake,V,1,0
1589,FLX,ORX,9/3/2022,60983,Zatar chicken,C,12,6
2091,SAX,IAX,9/6/2022,58019,Belgium waffle,WF,16,7
2018,IAX,BOX,9/6/2022,58563,Tomato and kale baked egg,E,1,0
1179,TPX,SFX,9/8/2022,60983,Zatar chicken,C,11,0
247,LAX,HNX,9/10/2022,60458,Crispy Hawaiian garlic tofu,V,4,2
735,ORX,SNX,9/14/2022,60987,Impossible Meatball Bowl,V,3,0
208,IAX,BOX,9/14/2022,54080,Jumbo burrata ravioli,P,3,3
1555,DEX,LGX,9/27/2022,60983,Zatar chicken,C,14,3
609,LAX,YVX,9/29/2022,61360,Brioche cheeseburger,B,1,0
2178,PDX,ORX,9/3/2022,60987,Impossible Meatball Bowl,V,8,7
421,IAX,PUX,9/4/2022,60983,Zatar chicken,C,11,0
686,DEX,ORX,9/5/2022,61360,Brioche cheeseburger,B,3,0
2053,ORX,DFX,9/6/2022,58766,Gingerbread French Toast,FT,2,0
2289,ORX,IAX,9/7/2022,58563,Tomato and kale baked egg,E,6,0
214,IAX,SNX,9/7/2022,60983,Zatar chicken,C,4,2
2058,YVX,IAX,9/9/2022,60983,Zatar chicken,C,12,12
541,DEX,SAX,9/10/2022,61360,Brioche cheeseburger,B,4,0
2343,DEX,MFX,9/5/2022,58764,Mediterranean Falafel Bowl,V,1,0
1207,DEX,YVX,9/8/2022,60983,Zatar chicken,C,8,0
222,SFX,MCX,9/8/2022,60987,Impossible Meatball Bowl,V,14,1
1822,ORX,DEX,9/9/2022,60987,Impossible Meatball Bowl,V,11,7
1413,EWX,MIX,9/9/2022,61530,Impossible Meatball Bowl,V,3,3
452,DEX,ORX,9/9/2022,60987,Impossible Meatball Bowl,V,6,0
468,EWX,MCX,9/10/2022,60549,Vegetarian chili and polenta cake,V,8,4
1870,SFX,IAX,9/13/2022,58019,Belgium waffle,WF,28,0
1182,LAX,IAX,9/4/2022,58981,Scrambled eggs,O,10,9
2074,DEX,SFX,9/5/2022,58764,Mediterranean Falafel Bowl,V,1,0
753,ORX,DEX,9/6/2022,58981,Scrambled eggs,O,8,6
1856,IAX,FLX,9/7/2022,60983,Zatar chicken,C,10,8
303,DEX,SEX,9/8/2022,60987,Impossible Meatball Bowl,V,8,0
1829,MCX,ORX,9/10/2022,60983,Zatar chicken,C,28,22
2347,SFX,DFX,9/14/2022,61529,Zatar chicken,C,6,5
2262,FLX,IAX,9/21/2022,58981,Scrambled eggs,O,10,9
787,DEX,SJX,9/24/2022,60987,Impossible Meatball Bowl,V,7,3
2489,SJX,DEX,9/25/2022,61530,Impossible Meatball Bowl,V,5,3
569,DEX,GRX,9/25/2022,61530,Impossible Meatball Bowl,V,3,3
2477,SAX,DEX,9/26/2022,58981,Scrambled eggs,O,8,8
1619,CLX,IAX,9/27/2022,60983,Zatar chicken,C,7,3
2305,PDX,IAX,9/28/2022,58019,Belgium waffle,WF,20,4
524,JFX,SFX,9/29/2022,58488,Tapas,O2,16,16
1827,SFX,DEX,9/2/2022,58981,Scrambled eggs,O,10,10
2170,RSX,ORX,9/4/2022,61530,Impossible Meatball Bowl,V,5,5
1614,EWX,FLX,9/5/2022,58272,Horchata steel cut oatmeal,OM,3,0
472,IAX,IAX,9/19/2022,58574,Belgium waffle,WF,4,0
1539,ORX,TPX,9/21/2022,60987,Impossible Meatball Bowl,V,4,2
1641,SFX,ORX,9/28/2022,60549,Vegetarian chili and polenta cake,V,1,0
797,IAX,LAX,9/30/2022,58272,Horchata steel cut oatmeal,OM,2,0
212,ATX,SFX,9/6/2022,60987,Impossible Meatball Bowl,V,6,6
1412,ORX,IAX,9/7/2022,58563,Tomato and kale baked egg,E,2,0
2654,IAX,ORX,9/8/2022,58574,Belgium waffle,WF,5,0
2162,ORX,IAX,9/8/2022,60983,Zatar chicken,C,34,17
1604,ORX,PHX,9/14/2022,61360,Brioche cheeseburger,B,1,0
2490,ORX,IAX,9/16/2022,58563,Tomato and kale baked egg,E,4,0
2019,LAX,TPX,9/17/2022,61360,Brioche cheeseburger,B,1,0
1207,DEX,YVX,9/18/2022,60987,Impossible Meatball Bowl,V,3,0
441,DEX,LAX,9/19/2022,60987,Impossible Meatball Bowl,V,6,0
306,BOX,IAX,9/19/2022,61529,Zatar chicken,C,7,0
2054,IAX,DEX,9/20/2022,58019,Belgium waffle,WF,6,0
5413,DEX,HSX,9/22/2022,57994,Classic selection cheese tray,O,5,5
2019,LAX,TPX,9/4/2022,61530,Impossible Meatball Bowl,V,4,0
376,FAX,DEX,9/7/2022,61529,Zatar chicken,C,7,7
1048,DEX,FAX,9/7/2022,61529,Zatar chicken,C,7,4
2333,SFX,MCX,9/8/2022,58563,Tomato and kale baked egg,E,2,2
782,SMX,ORX,9/11/2022,61529,Zatar chicken,C,4,4
197,GUX,NRX,9/12/2022,56491,Kosher Meal,KS,1,1
1896,IAX,PHX,9/12/2022,58019,Belgium waffle,WF,8,7
1220,LAX,OGX,9/12/2022,60458,Crispy Hawaiian garlic tofu,V,6,3
5899,SLX,ORX,9/13/2022,57994,Classic selection cheese tray,O,12,0
2122,IAX,SNX,9/16/2022,60983,Zatar chicken,C,9,0
2472,SAX,EWX,9/20/2022,58981,Scrambled eggs,O,8,7
1741,ORX,RSX,9/21/2022,58574,Belgium waffle,WF,3,3
1990,IAX,ORX,9/21/2022,60987,Impossible Meatball Bowl,V,9,7
2085,ORX,SFX,9/8/2022,60987,Impossible Meatball Bowl,V,6,3
2211,SAX,IAX,9/8/2022,60987,Impossible Meatball Bowl,V,6,6
413,SFX,MEX,9/16/2022,61530,Impossible Meatball Bowl,V,4,0
2085,ORX,SFX,9/17/2022,60987,Impossible Meatball Bowl,V,5,0
2301,SNX,DEX,9/21/2022,60987,Impossible Meatball Bowl,V,6,5
1622,LAX,MCX,9/22/2022,60983,Zatar chicken,C,9,7
1710,ORX,SAX,9/23/2022,58019,Belgium waffle,WF,18,12
1758,PIX,DEX,9/17/2022,60983,Zatar chicken,C,12,10
2371,PHX,ORX,9/17/2022,60983,Zatar chicken,C,12,0
1788,SFX,DEX,9/20/2022,58563,Tomato and kale baked egg,E,2,1
2290,ORX,PDX,9/26/2022,58981,Scrambled eggs,O,10,6
618,DEX,ORX,9/29/2022,60983,Zatar chicken,C,10,0
1759,DEX,KOX,9/2/2022,58480,Spaghetti squash noodles,S,6,6
261,ABX,SFX,9/5/2022,61530,Impossible Meatball Bowl,V,5,5
1865,DEX,IAX,9/7/2022,58981,Scrambled eggs,O,6,3
2247,IAX,RSX,9/11/2022,61360,Brioche cheeseburger,B,1,0
1408,IAX,LAX,9/3/2022,58272,Horchata steel cut oatmeal,OM,3,0
2352,RTX,DEX,9/3/2022,60983,Zatar chicken,C,10,8
2245,EWX,MCX,9/5/2022,60987,Impossible Meatball Bowl,V,7,2
2039,EWX,LAX,9/5/2022,54076,Cacio e Pepe ravioli,P,15,0
1774,MIX,EWX,9/1/2022,61524,Scrambled eggs,O,6,1
4788,JAX,IAX,9/4/2022,57994,Classic selection cheese tray,O,12,0
2663,ORX,DEX,9/4/2022,60987,Impossible Meatball Bowl,V,8,9
1290,EWX,MCX,9/11/2022,60987,Impossible Meatball Bowl,V,7,3
1739,IAX,LAX,9/15/2022,60983,Zatar chicken,C,8,3
2371,PHX,ORX,9/24/2022,60983,Zatar chicken,C,12,11
2676,IAX,LAX,9/28/2022,60987,Impossible Meatball Bowl,V,9,3
2200,IAX,DEX,9/29/2022,60983,Zatar chicken,C,7,0
678,ORX,BOX,9/30/2022,60983,Zatar chicken,C,8,7
2465,SNX,ORX,9/7/2022,60983,Zatar chicken,C,10,6
1843,IAX,DEX,9/7/2022,60983,Zatar chicken,C,7,0
2301,SNX,DEX,9/8/2022,60983,Zatar chicken,C,10,0
214,IAX,SNX,9/13/2022,60983,Zatar chicken,C,4,3
4661,IAX,YYX,9/15/2022,57994,Classic selection cheese tray,O,5,5
2121,IAX,SEX,9/20/2022,61530,Impossible Meatball Bowl,V,5,5
476,DEX,IAX,9/20/2022,60987,Impossible Meatball Bowl,V,7,6
675,EWX,SEX,9/21/2022,61530,Impossible Meatball Bowl,V,3,0
1620,IAX,CUX,9/26/2022,58019,Belgium waffle,WF,16,14
5516,GSX,DEX,9/26/2022,57994,Classic selection cheese tray,O,12,0
2486,ORX,DEX,9/2/2022,60987,Impossible Meatball Bowl,V,7,0
1481,EWX,NAX,9/4/2022,61529,Zatar chicken,C,7,4
2134,EWX,DEX,9/4/2022,58563,Tomato and kale baked egg,E,1,0
2141,MIX,IAX,9/9/2022,60983,Zatar chicken,C,12,9
1724,SFX,KOX,9/11/2022,60458,Crispy Hawaiian garlic tofu,V,6,6
1526,EWX,LAX,9/12/2022,60983,Zatar chicken,C,11,11
335,EWX,DFX,9/14/2022,61360,Brioche cheeseburger,B,2,0
1069,IAX,LAX,9/14/2022,58019,Belgium waffle,WF,22,18
1054,CUX,EWX,9/15/2022,58109,Chicken breast entree,C,24,12
515,LAX,JFX,9/16/2022,58488,Tapas,O2,8,8
2396,PDX,DEX,9/16/2022,60983,Zatar chicken,C,10,10
515,LAX,JFX,9/18/2022,58488,Tapas,O2,8,8
577,MIX,DEX,9/15/2022,61530,Impossible Meatball Bowl,V,5,4
1766,SFX,DFX,9/16/2022,61360,Brioche cheeseburger,B,2,0
1417,IAX,LAX,9/17/2022,61360,Brioche cheeseburger,B,5,0
1043,EWX,AUX,9/18/2022,60983,Zatar chicken,C,7,0
320,LAX,PVX,9/24/2022,61529,Zatar chicken,C,8,7
1912,MSX,IAX,9/11/2022,61524,Scrambled eggs,O,6,5
750,DEX,IAX,9/11/2022,60987,Impossible Meatball Bowl,V,6,6
2304,IAX,SAX,9/13/2022,60983,Zatar chicken,C,5,3
1709,DEX,PVX,9/21/2022,58766,Gingerbread French Toast,FT,1,0
1722,SFX,KOX,9/22/2022,58049,Cinnamon French toast,FT,2,0
312,BOX,LAX,9/23/2022,58019,Belgium waffle,WF,9,5
451,ORX,ANX,9/23/2022,60549,Vegetarian chili and polenta cake,V,2,0
2085,ORX,SFX,9/4/2022,61360,Brioche cheeseburger,B,2,2
449,BOX,DEX,9/5/2022,60987,Impossible Meatball Bowl,V,8,0
2652,TPX,EWX,9/6/2022,61530,Impossible Meatball Bowl,V,5,5
1434,EWX,DEX,9/9/2022,58764,Mediterranean Falafel Bowl,V,4,0
1297,ORX,SJX,9/10/2022,58766,Gingerbread French Toast,FT,1,0
388,LAX,IAX,9/15/2022,60987,Impossible Meatball Bowl,V,5,0
1165,MSX,IAX,9/19/2022,58019,Belgium waffle,WF,10,0
2411,LAX,IAX,9/22/2022,60987,Impossible Meatball Bowl,V,12,0
407,DEX,LGX,9/22/2022,60549,Vegetarian chili and polenta cake,V,1,0
1515,DEX,GEX,9/12/2022,61524,Scrambled eggs,O,6,0
2267,LAX,EWX,9/12/2022,53106,ASIAN VEGETARIAN MEAL,AV,1,1
622,JAX,EWX,9/13/2022,60987,Impossible Meatball Bowl,V,5,2
548,IAX,SFX,9/27/2022,58019,Belgium waffle,WF,8,7
2432,ORX,SAX,9/7/2022,61524,Scrambled eggs,O,6,0
1115,SAX,DEX,9/9/2022,60983,Zatar chicken,C,10,10
2453,EWX,STX,9/10/2022,58563,Tomato and kale baked egg,E,1,0
1179,TPX,SFX,9/12/2022,60983,Zatar chicken,C,12,0
1194,IAX,IAX,9/14/2022,60987,Impossible Meatball Bowl,V,16,0
2308,DEX,LIX,9/24/2022,58676,Butternut squash schnitzel,V,5,5
1706,IAX,SFX,9/24/2022,61360,Brioche cheeseburger,B,3,0
875,NRX,GUX,9/28/2022,53277,Roasted chicken,C,2,1
1094,DEX,LAX,9/23/2022,58981,Scrambled eggs,O,14,0
452,DEX,ORX,9/24/2022,60983,Zatar chicken,C,10,10
545,DEX,SMX,9/24/2022,60987,Impossible Meatball Bowl,V,4,4
1883,IAX,LAX,9/26/2022,61360,Brioche cheeseburger,B,7,0
1418,DEX,RDX,9/27/2022,61360,Brioche cheeseburger,B,6,3
2309,IAX,SJX,9/27/2022,60983,Zatar chicken,C,7,7
599,IAX,EWX,9/28/2022,58764,Mediterranean Falafel Bowl,FB,1,0
2298,EWX,LAX,9/28/2022,60983,Zatar chicken,C,9,0
709,DEX,SFX,9/28/2022,61530,Impossible Meatball Bowl,V,5,4
2368,PIX,SFX,9/14/2022,58574,Belgium waffle,WF,5,0
1668,CUX,ORX,9/14/2022,58110,Vegetarian entree,V,8,0
1737,DEX,OGX,9/16/2022,58490,Teriyaki chicken,B,10,10
152,GUX,KIX,9/18/2022,55785,Mushroom omelette,E,11,2
1899,DEX,ORX,9/20/2022,60987,Impossible Meatball Bowl,V,13,13
2018,IAX,BOX,9/22/2022,58574,Belgium waffle,WF,3,2
2085,ORX,SFX,9/23/2022,61360,Brioche cheeseburger,B,2,0
2174,ORX,MCX,9/23/2022,60987,Impossible Meatball Bowl,V,9,6
2292,IAX,MCX,9/24/2022,58981,Scrambled eggs,O,10,9
1970,EWX,SEX,9/25/2022,58766,Gingerbread French Toast,FT,1,0
1730,DEX,EWX,9/26/2022,60987,Impossible Meatball Bowl,V,5,4
2075,IAX,DEX,9/27/2022,60549,Vegetarian chili and polenta cake,V,1,0
2200,SNX,DEX,9/30/2022,60983,Zatar chicken,C,10,8
2105,DCX,DEX,9/25/2022,60987,Impossible Meatball Bowl,V,6,6
389,LAX,SEX,9/26/2022,60983,Zatar chicken,C,10,10
1675,IAX,DEX,9/27/2022,60987,Impossible Meatball Bowl,V,4,0
796,DEX,LAX,9/28/2022,60983,Zatar chicken,C,8,4
204,ORX,LAX,9/29/2022,58981,Scrambled eggs,O,9,9
1663,ORX,LAX,9/29/2022,60987,Impossible Meatball Bowl,V,8,6
1059,CUX,IAX,9/29/2022,58110,Vegetarian entree,V,8,3
2457,LAX,EWX,9/22/2022,58523,Tapas,O2,12,0
2661,EWX,DEX,9/23/2022,61360,Brioche cheeseburger,B,4,0
2471,RNX,DEX,9/25/2022,61529,Zatar chicken,C,7,5
