flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,ques_verbatim_text,loyalty_program_level,fleet_type_description,fleet_usage,response_group
3641,EWX,YQX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,ERJ-175,Express,member
1728,LAX,LAX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,Jet Blue has a much better selection of beverages.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
1057,CUX,IAX,2022-09-07,Delayed,Delayed,Latin,Keep the Stroopwafels!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
2484,ORX,PDX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,Definitely did not seem stingey.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
615,IAX,SMX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,Maybe choices of sandwich is better than the snacks currently offered.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
384,HNX,DEX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,Need more choices of food.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
658,EWX,TPX,2022-09-07,Delayed,Delayed,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member
165,MAX,IAX,2022-09-08,Delayed,Early & Ontime,Atlantic,Thank you for having a quality vegetarian option on both flights.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B767-400,Mainline,member
282,IAX,MFX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,None.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
2465,SNX,ORX,2022-09-09,Delayed,Delayed,Domestic,"We had to ask for a can of soda (which we shared, after my brother and I got a cup of soda). No one even offered us an alcoholic beverage, even though it is included in our ticket.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member
1853,IAX,MTX,2022-09-09,Early & Ontime,Early & Ontime,Latin,No snacks were offered.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
2096,ORX,LAX,2022-09-09,Delayed,Early & Ontime,Domestic,Your survey did not allow for saying the taste was OK what I was not as pleased with is that there was not a healthier option. Too much fat/oil especially in the dessert. I would have ordered another type of meal if it were offered but it was not.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-10,Mainline,member
5664,SLX,DEX,2022-09-09,Delayed,Early & Ontime,Domestic,A few more options for snack boxes would be nice. Perhaps a bit more fruit or dried fruit. I know its tough to keep fruit fresh so dried fruit can be a decent substitute.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member
245,PVX,LAX,2022-09-10,Early & Ontime,Early & Ontime,Latin,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member
1626,TPX,IAX,2022-09-09,Early & Ontime,Early & Ontime,Domestic,"I preordered food but there were people in first class that had dietary needs, so I gave up my selected meal to help that passenger. I ended up with a meal that I did not order.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
1710,ORX,SAX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,I was able to preorder from a list of 5 breakfast options - 3 of which sounded good. Best preorder options I have seen since the pandemic.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-MAX9,Mainline,member
2290,ORX,PDX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,More and better foods options would be nice.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member
1763,DEX,SAX,2022-09-09,Delayed,Delayed,Domestic,Great price for these- i appreciate that!!.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
2603,ORX,MSX,2022-09-11,Early & Ontime,Early & Ontime,Domestic,Kombucha or another probiotic option and Greek yogurt over normal yogurt.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
537,EWX,SFX,2022-09-11,Delayed,Delayed,Domestic,"please provide a low salt option, it really is the only thing missing.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,B777-200,Mainline,member
333,PDX,ORX,2022-09-11,Delayed,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
3553,CMX,ORX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,I am type 1 diabetic and they were able to get me a juice when I needed it.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-170,Express,non-member
2,SFX,SIX,2022-09-11,Early & Ontime,Delayed,Pacific,I remain amazed that with the price of a business class ticket on United. their food service is not much better than domestic flights. There is no variety. the comparison with other carriers is very poor. Look to Singapore Airlines for the very best.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,B787-9,Mainline,member
673,DEX,IAX,2022-09-11,Early & Ontime,Delayed,Domestic,Considering that we had premium economy. I guess I expected a little bit more.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
1629,MBX,EWX,2022-09-10,Early & Ontime,Early & Ontime,Latin,Very good selection.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
125,EWX,ATX,2022-09-11,Early & Ontime,Delayed,Atlantic,"More so in the lounge, it would be nice to order food from the restaurant and be able to eat it at the bar. You are able to bring buffet food to the bar.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B777-200,Mainline,member
46,ZRX,SFX,2022-09-11,Delayed,Delayed,Atlantic,Really liked we were offered ice cream!. The food was surprisingly good. Would have preferred a warm roll but put it on my entree to warm it up. Would have appreciate a wipe to wash my hands with each meal.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
46,ZRX,SFX,2022-09-11,Delayed,Delayed,Atlantic,Serving sparkling wine in economy even for sale would be great. Would be nice to have premium wine for purchase.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-200,Mainline,member
782,SMX,ORX,2022-09-11,Early & Ontime,Early & Ontime,Domestic,One basic alcoholic beverage should be complimentary.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,A320-200,Mainline,member
2000,SFX,DEX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,Came in from overseas and my son thought he had to pay for a Coke.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
999,BRX,EWX,2022-09-11,Early & Ontime,Early & Ontime,Atlantic,Lunch: quality okay. very small portions Snack before arrival was poor quality.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-300,Mainline,non-member
86,TLX,EWX,2022-09-12,Delayed,Delayed,Atlantic,My first choice was not available which was very upsetting.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-10,Mainline,member
1062,SJX,IAX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,Try and refresh your meal offerings.. In my last 8 flights the same options were available.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-MAX8,Mainline,member
1062,SJX,IAX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,I did not eat or drink anything on this flight.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-MAX8,Mainline,member
1229,IAX,DEX,2022-09-12,Delayed,Early & Ontime,Domestic,I never get a prompt to pre order my meal. Not sure why.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-200,Mainline,member
1212,DEX,PIX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,"The food was much better than expected, more flavorful and interesting.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-900,Mainline,member
1142,HNX,SFX,2022-09-13,Early & Ontime,Delayed,Domestic,There should have been more water service offered during the flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
1142,HNX,SFX,2022-09-13,Early & Ontime,Delayed,Domestic,Hot meals on a flight this long would be appreciated.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
5298,MTX,DEX,2022-09-12,Delayed,Delayed,Domestic,Everything good.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member
487,CLX,DEX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,Only spinach (chicken) meal I have ever appreciated. Good.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
5236,DEX,FLX,2022-09-13,Early & Ontime,Delayed,Domestic,"It would be nice to be offered the whole can of soda, some flights do and some do not. Very inconsistent.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,CRJ-700,Express,member
2423,IAX,CHX,2022-09-10,Delayed,Delayed,Domestic,I know it was a short flight. a bag of peanuts would have staved off the hunger pangs.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-700,Mainline,member
579,ORX,PHX,2022-09-13,Early & Ontime,Delayed,Domestic,I got the left over serving of waffle because I did not pre order my meal. It should be clearly stated the need to preorder meals so I can get a decent meal that I prefer and not left overs because that was the only thing left.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-700,Mainline,member
1686,LIX,DEX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,I did not receive the prepaid tapas.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member
2295,EWX,LAX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,It will be good if there was a variety of snack selection on a 5 1/2 hour flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX8,Mainline,member
2295,EWX,LAX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,They should also provide a choice of peanuts versus pretzels.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX8,Mainline,non-member
2346,ORX,CLX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,Would like a cookie or something to nibble on.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
251,ABX,DEX,2022-09-13,Early & Ontime,Delayed,Domestic,The flight was so short. there was no need for anything besides water.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member
1962,LAX,IAX,2022-09-14,Delayed,Delayed,Domestic,"Food focused on Latinos. Nothing appealing to me except burger , which I really did not want.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
3655,SYX,EWX,2022-09-14,Delayed,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-170,Express,non-member
5293,ORX,MTX,2022-09-14,Early & Ontime,Early & Ontime,Latin,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member
5293,ORX,MTX,2022-09-14,Early & Ontime,Early & Ontime,Latin,"Bombay is a much higher quality than the gin one from Englsnd. -Tangerey. It is made from 5 ingredients from 5 countries, and is blended smoothly. the taste is bit harsh like Tangerey.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,ERJ-175,Express,member
1732,KOX,DEX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,"Would appreciate having more meal options on the flight, rather than just 2.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B757-200,Mainline,member
3903,IAX,SAX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,no food was offered. I do not think any was available. But it was such a short flight none was needed.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-200,Express,member
4242,IAX,LFX,2022-09-12,Early & Ontime,Delayed,Domestic,No drink from Houston Lafayette. Chicago paris was better but even in premier economy plus the attendant ask me to pay my gin And no champagne available.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,ERJ-145,Express,member
2306,ORX,SEX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,"Please if possible change the vegetarian dish name to some vege bowl it is very unappealing to give a vegetarian person unbelievable meat bowl the name when meat comes in it, it is not for vegetarian person.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-900,Mainline,member
2306,ORX,SEX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,"One small glass of water for a 4+ hour flight. wow. Would like to have more water, but none was offered. I had forgotten my water bottle so was dehydrated at end of flight..",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-900,Mainline,member
25,BOX,LHX,2022-09-14,Early & Ontime,Early & Ontime,Atlantic,"Food was great. As it was an 11pm flight, it would have made more sense to have a light meal or snack at the beginning and a bigger breakfast at the end. I did not need a meal past midnight.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B767-300,Mainline,member
1847,EWX,MYX,2022-09-13,Delayed,Early & Ontime,Domestic,No.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member
498,DEX,BOX,2022-09-14,Early & Ontime,Delayed,Domestic,I do miss the old days when a meal was served. Even when I go First Class food is not the same.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-800,Mainline,member
1093,TVX,ORX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,Excellent Service!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member
1899,DEX,ORX,2022-09-15,Delayed,Early & Ontime,Domestic,Love the snack boxes.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-200,Mainline,member
1530,SFX,SAX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,Thank you for continuing this service.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
1530,SFX,SAX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,The FA constantly checked up on me to see if I needed something else. She did not hurried up my meal.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
27,LHX,DEX,2022-09-15,Early & Ontime,Early & Ontime,Atlantic,Overall good!.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member
2045,MIX,EWX,2022-09-15,Delayed,Delayed,Domestic,Have more of a variety.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX8,Mainline,non-member
4767,FSX,DEX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member
931,SFX,LHX,2022-09-16,Early & Ontime,Early & Ontime,Atlantic,My friend on the other aisle got Glen Farclas. my host did not have any to give me.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-9,Mainline,non-member
2309,IAX,SJX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,"There were no biscoff, otherwise I would have had those. So I had the stroopwaffle and I still do not understand the fascination with that thing.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX8,Mainline,member
2279,ORX,SEX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,Keep it up the great service <👍>.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-900,Mainline,member
2279,ORX,SEX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,Would like more variety for snacks.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
315,DEX,TPX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,The chicken dinner was over-cooked and dry.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-800,Mainline,member
7,NRX,IAX,2022-09-16,Early & Ontime,Early & Ontime,Pacific,"The breakfast meal when we landed was not great. I think the regular economy seats had a better set of foods to choose. The first meal however, was pretty awesome compared to airlines the past.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
1009,BOX,SFX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,The stewardess skipped over our row and we had to wait another hour before getting beverages.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member
1599,PWX,ORX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,Perfect.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member
2227,ONX,SFX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,"There should be more on offer. Though I like both, there should be more to choose from than just a strupwaffel or cookie - that was on the flight from SFO to Albuquerque. No snack at all was offered on the Ontario to SFO flight. It is small but like any kind of customer service, it is all in the little details.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member
6363,IAX,DTX,2022-09-13,Delayed,Delayed,Domestic,Thank you for providing pretzels on Thai flight. The flight from Metro to DC did not have a snack.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member
944,LIX,IAX,2022-09-17,Delayed,Delayed,Atlantic,"The flight attendant accidentally charged us for wine, even though it was supposed to be complimentary. I believe she refunded us, but it was just a bit confusing. They did remember my husband's special gluten-free order though, which was good. On the United flight to Lisbon they did not, and the flight attendant just told my husband to ""check the ingredients"" when he asked which of the 2 meal options they had were gluten free. Neither were, so that was a bummer for him. But again, that was on the flight from IAD to LIS. This flight they remembered the special orders and he got his special gluten free meals and they were good.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member
956,TLX,SFX,2022-09-17,Delayed,Delayed,Atlantic,Food on business was excellent!. Please continue to do what you are doing.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-200,Mainline,member
1731,LAX,MCX,2022-09-17,Delayed,Delayed,Domestic,They need to have ice tea.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member
2225,LAX,IAX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,I miss the Roth Cheese plates that were available for purchase. One of the best inflight snacks ever!. I miss eating them a few times a month!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-900,Mainline,member
387,DBX,EWX,2022-09-17,Early & Ontime,Early & Ontime,Atlantic,I have been on multiple international flights with United this summer and the quality of the white (and red) has truly been horrendous. You need to fix this issue. It is actually better on domestic flights which makes no sense. There is no choice and the quality if far below average. Do not try to save money in this area it will and has back fired on your service.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B767-300,Mainline,member
387,DBX,EWX,2022-09-17,Early & Ontime,Early & Ontime,Atlantic,I was satisfied with the dinner and then the snack afterwards.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-300,Mainline,non-member
387,DBX,EWX,2022-09-17,Early & Ontime,Early & Ontime,Atlantic,The snack (turkey sandwich) was delicious!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-300,Mainline,non-member
440,EWX,CHX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,Food is so dual and boring. No healthy snacks just ultra processed.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-700,Mainline,member
1022,EWX,PTX,2022-09-17,Delayed,Delayed,Latin,Pandemia is over. We need better foods on flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
2207,IAX,DEX,2022-09-17,Early & Ontime,Delayed,Domestic,It was a nice surprise to have the cookie!.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member
2093,SEX,EWX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,I like getting the entire soda can.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX8,Mainline,member
392,PDX,IAX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,"for the night flight, a sandwich would have been nice.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
86,TLX,EWX,2022-09-17,Early & Ontime,Early & Ontime,Atlantic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-10,Mainline,member
79,NRX,EWX,2022-09-16,Early & Ontime,Early & Ontime,Pacific,"The dinner was pretty good. The breakfast was rather bland. Dessert for dinner was a packaged brownie, which was quite underwhelming.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
2329,PDX,DEX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,"Quality can be improved,.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B737-900,Mainline,member
2329,PDX,DEX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,I understand PDX is not a hub. catering needs are limited. the food could be better.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B737-900,Mainline,member
5524,ORX,ABX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member
272,BGX,EWX,2022-09-17,Early & Ontime,Early & Ontime,Atlantic,Complimentary snack pretzels was not good.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B757-200,Mainline,non-member
406,DEX,CLX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,Just wish there were chips or ice tea <:)>.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
126,ATX,EWX,2022-09-18,Early & Ontime,Early & Ontime,Atlantic,Both meals were not very appetizing. We ran out of chicken. I had to have the pasta (ravioli with pesto)- very heavily spiced. The salad did not match the meal. The I honestly woukd have been happy with a small sandwich and a cookie!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
126,ATX,EWX,2022-09-18,Early & Ontime,Early & Ontime,Atlantic,I made a mistake. I did get a meal and a snack. Sorry.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
126,ATX,EWX,2022-09-18,Early & Ontime,Early & Ontime,Atlantic,"The flight was so comfortable that the time ""flew"" by. I enjoyed 4 movies on the trip. which made the time go even faster. The attendants were excellent!.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
5293,ORX,MTX,2022-09-18,Early & Ontime,Early & Ontime,Latin,I have noticed that on longer flights recently there is only one drink service. This is fine. the flight attendants do not come around to offer water. A thee hour flight is a very long time to go with only one glass of liquid. It would be nice if they were to at least offer water part way through or towards the end of the trip.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member
5584,TUX,SFX,2022-09-18,Delayed,Delayed,Domestic,"For Elderly people they may have hearing aides, they do not pick up easily. staff are talking, speaking through micraphones and do not slow speach and communication. I know you have only so much time. this is not good. your systems ont he plain are not clear enough then they come over the speakier and the pilots are not clear also. !!!!!.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member
219,HNX,ORX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,PLEASE rotate the chicken katsu off the menu. It is been there 2+ years and it is old!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B787-10,Mainline,member
219,HNX,ORX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,I had a credit on file but the attendant could not find it.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-10,Mainline,member
1661,IAX,SAX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,Very tasty.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member
1128,ORX,SFX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,Coffee tasted awful !!!!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
1495,RAX,DEX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,Need app to now purchase items. No cash or credit card.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,A319-100,Mainline,member
3521,IAX,PWX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,"would have preferred additional drink, and the portion size of the snack bx has gone down very much, but was happy to actually get one on this flight.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-170,Express,non-member
263,DEX,LHX,2022-09-20,Early & Ontime,Delayed,Atlantic,"Dinner was very good, breakfast average.",0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member
263,DEX,LHX,2022-09-20,Early & Ontime,Delayed,Atlantic,Thank you for the Gluten-free option!.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member
992,BCX,IAX,2022-09-20,Early & Ontime,Early & Ontime,Atlantic,In addition to the we had a snack. In my case a cheese sandwich. It tasted good.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B767-400,Mainline,member
